Truck,TimeStamp,X,Y
T137,05 Jun 2024 15:00:04:000,521648.7706,7502087.377
T137,05 Jun 2024 15:00:29:000,521420.3002,7502050.797
T137,05 Jun 2024 15:00:54:000,521097.5706,7501986.669
T137,05 Jun 2024 15:01:19:000,520760.5595,7501916.403
T137,05 Jun 2024 15:01:44:000,520423.6,7501883.027
T137,05 Jun 2024 15:02:09:000,520118.0571,7501855.753
T137,05 Jun 2024 15:02:34:000,519798.2472,7501834.641
T137,05 Jun 2024 15:02:59:000,519515.4977,7501767.353
T137,05 Jun 2024 15:03:23:000,519281.2619,7501678.476
T137,05 Jun 2024 15:03:48:000,518961.3368,7501558.953
T137,05 Jun 2024 15:04:13:000,518661.336,7501384.052
T137,05 Jun 2024 15:04:38:000,518466.8594,7501107.552
T137,05 Jun 2024 15:05:03:000,518346.6891,7500889.383
T137,05 Jun 2024 15:05:28:000,518232.4918,7500892.593
T137,05 Jun 2024 15:05:53:000,518132.6091,7500929.607
T137,05 Jun 2024 15:06:18:000,518189.8896,7501083.28
T137,05 Jun 2024 15:06:43:000,518218.5159,7501147.818
T137,05 Jun 2024 15:07:07:000,518275.5956,7501129.302
T137,05 Jun 2024 15:07:33:000,518275.5956,7501129.302
T137,05 Jun 2024 15:07:57:000,518275.5956,7501129.302
