area Id,x,y,z,heading_circle,from_loc,to_loc
1611665894699,-6593079,-1267074,550341,-25788,INT_30,INT_115
1613678853965,-5813931,-669287,535506,11387,INT_28,B4_99_A_0_FINGER24
1613678853965,-5802572,-647957,535596,11413,INT_28,B4_99_A_0_FINGER24
1613678853965,-5789867,-621679,535502,12045,INT_28,B4_99_A_0_FINGER24
1613678853965,-5786265,-614764,535465,11754,INT_28,B4_99_A_0_FINGER24
1613678853965,-5778146,-597843,535448,11899,INT_28,B4_99_A_0_FINGER24
1613678853965,-5769001,-578397,535801,12089,INT_28,B4_99_A_0_FINGER24
1613678853965,-5765071,-569375,535745,12135,INT_28,B4_99_A_0_FINGER24
1613678853965,-5761899,-560372,535795,13562,INT_28,B4_99_A_0_FINGER24
1613678853965,-5760451,-555471,536022,13125,INT_28,B4_99_A_0_FINGER24
1613678936219,-5731268,-562989,535786,-18750,B4_99_A_0_FINGER24,INT_28
1613678936219,-5735413,-573924,535504,-20318,B4_99_A_0_FINGER24,INT_28
1613678936219,-5739861,-584375,535403,-20610,B4_99_A_0_FINGER24,INT_28
1613678936219,-5747462,-601426,535626,-20964,B4_99_A_0_FINGER24,INT_28
1613678936219,-5756805,-620760,535445,-20756,B4_99_A_0_FINGER24,INT_28
1613678936219,-5761916,-631992,535422,-20732,B4_99_A_0_FINGER24,INT_28
1613678936219,-5765631,-639918,535512,-20608,B4_99_A_0_FINGER24,INT_28
1613678936219,-5770346,-650871,535480,-20013,B4_99_A_0_FINGER24,INT_28
1613678936219,-5774465,-659680,535584,-20765,B4_99_A_0_FINGER24,INT_28
1613678936219,-5788238,-685391,535595,-21554,B4_99_A_0_FINGER24,INT_28
1613678936219,-5791221,-690728,535609,-21675,B4_99_A_0_FINGER24,INT_28
1615713902156,-5587823,-778758,525275,-14118,INT_14,INT_24
1615713902156,-5583023,-800469,525186,-14058,INT_14,INT_24
1615713902156,-5578730,-818689,525019,-13665,INT_14,INT_24
1615713902156,-5574430,-833977,524804,-13178,INT_14,INT_24
1615713902156,-5571982,-841291,524746,-12887,INT_14,INT_24
1619592965742,-5831092,-218767,526005,-6385,INT_16,INT_29
1619592965742,-5824464,-222786,526083,-6236,INT_16,INT_29
1619592965742,-5816198,-228866,526116,-6745,INT_16,INT_29
1619592965742,-5803382,-238928,526001,-7244,INT_16,INT_29
1619592965742,-5781585,-258197,526025,-7399,INT_16,INT_29
1619592965742,-5764967,-271674,525977,-7245,INT_16,INT_29
1623906110481,-4321200,229116,534338,-29103,GATE_13,GATE_31
1623906110481,-4349082,218563,534267,-28990,GATE_13,GATE_31
1623906110481,-4375060,208761,533772,-28931,GATE_13,GATE_31
1623906110481,-4400787,199080,533245,-28997,GATE_13,GATE_31
1623906110481,-4424101,190039,532719,-28898,GATE_13,GATE_31
1623906110481,-4447993,180878,532255,-29032,GATE_13,GATE_31
1623906110481,-4472488,171577,531967,-28939,GATE_13,GATE_31
1623906110481,-4497629,162082,531480,-28916,GATE_13,GATE_31
1623906110481,-4523089,152503,531030,-29045,GATE_13,GATE_31
1623906110481,-4548454,143082,531284,-29045,GATE_13,GATE_31
1623906110481,-4573846,133466,531234,-29019,GATE_13,GATE_31
1623906110481,-4599616,123534,530809,-28938,GATE_13,GATE_31
1623906110481,-4625749,113658,530136,-29000,GATE_13,GATE_31
1623906110481,-4651416,103624,529419,-28879,GATE_13,GATE_31
1623906110481,-4676626,93999,529310,-29014,GATE_13,GATE_31
1623906110481,-4702836,84132,529378,-28936,GATE_13,GATE_31
1623906110481,-4729141,74293,529325,-29067,GATE_13,GATE_31
1623906110481,-4755954,64779,529361,-29290,GATE_13,GATE_31
1623906110481,-4783026,55785,529728,-29450,GATE_13,GATE_31
1623906110481,-4804754,48517,530096,-29305,GATE_13,GATE_31
1623906110481,-4815554,44535,530126,-28989,GATE_13,GATE_31
1623906110481,-4837135,35671,529865,-28602,GATE_13,GATE_31
1623906110481,-4863957,24087,529143,-28442,GATE_13,GATE_31
1623906110481,-4891055,12438,529080,-28619,GATE_13,GATE_31
1623906110481,-4918368,668,529199,-28390,GATE_13,GATE_31
1623906110481,-4939424,-9189,529226,-28092,GATE_13,GATE_31
1623906110481,-4948423,-13626,529277,-27937,GATE_13,GATE_31
1625156254474,-4183151,557671,524244,-30575,INT_52,INT_102
1625156254474,-4211680,551712,523848,-30874,INT_52,INT_102
1625156254474,-4239329,545613,523667,-30489,INT_52,INT_102
1625156254474,-4268013,539320,523727,-30471,INT_52,INT_102
1625156254474,-4296973,533111,523677,-30562,INT_52,INT_102
1625156254474,-4325604,527012,523572,-30598,INT_52,INT_102
1625156254474,-4352694,521211,523728,-30568,INT_52,INT_102
1625156254474,-4380903,515029,523846,-30412,INT_52,INT_102
1625156254474,-4406898,509182,523849,-30458,INT_52,INT_102
1625156254474,-4433996,502963,523876,-30421,INT_52,INT_102
1625156254474,-4461636,496651,523896,-30458,INT_52,INT_102
1625156254474,-4488975,490776,523828,-30619,INT_52,INT_102
1625156254474,-4511333,486524,523714,-31002,INT_52,INT_102
1625156254474,-4525873,484204,523647,-31263,INT_52,INT_102
1625156254474,-4550626,480974,524176,-31602,INT_52,INT_102
1625156254474,-4580215,478124,524613,-31819,INT_52,INT_102
1625156254474,-4601754,476453,525034,-32069,INT_52,INT_102
1625156254474,-4631144,474755,525361,-32164,INT_52,INT_102
1625156254474,-4645020,474059,525325,-32291,INT_52,INT_102
1626090801492,-1777861,278506,543180,28948,INT_110,INT_114
1626090801492,-1804295,290201,543260,28404,INT_110,INT_114
1626090801492,-1831238,301497,543151,28635,INT_110,INT_114
1626090801492,-1843434,306528,543177,28936,INT_110,INT_114
1626090801492,-1859042,312079,543112,29247,INT_110,INT_114
1626096403646,-1734370,293571,543240,-4766,INT_110,INT_111
1626096403646,-1708867,282488,543332,-4222,INT_110,INT_111
1626096403646,-1689690,273948,543382,-4714,INT_110,INT_111
1626096403646,-1676882,267980,543408,-4518,INT_110,INT_111
1626096403646,-1670194,265121,543378,-4589,INT_110,INT_111
1626096403646,-1668720,264629,543298,-3361,INT_110,INT_111
1626096403646,-1667557,263961,543395,-5439,INT_110,INT_111
1626096403646,-1663997,262494,543349,-3994,INT_110,INT_111
1626096714996,-1851794,344547,543068,-4680,INT_114,INT_110
1626096714996,-1836668,337344,543193,-4374,INT_114,INT_110
1626096714996,-1821912,330828,543212,-4156,INT_114,INT_110
1626096714996,-1796573,320071,543253,-4127,INT_114,INT_110
1626096714996,-1769699,308858,543206,-4157,INT_114,INT_110
1626096714996,-1763528,306222,543229,-4185,INT_114,INT_110
1626276236442,-1665411,231121,543032,28039,INT_111,INT_110
1626276236442,-1692801,242817,543366,28531,INT_111,INT_110
